Inventario,Localizzazione,Collocazione,Tipo di documento,Autore,Titolo,Luogo,Editore,Anno,Note,ISBN,CDD,Descrizione CDD,Curatore,Traduttore,Lingua
,Polo Liceale,armadio 10,volume,---,Van Gogh,Milano,Rizzoli,2002,"Serie: I classici dell'arte, Vol 2; Argan Giulio Carlo ( Presentazione di )",,750,,,,
,Polo Liceale,armadio 10,volume,---,Kandinsky,Milano,Rizzoli,2004,"Serie: I classici dell'arte, Vol 13; Argan Giulio Carlo ( Presentazione di )",,750,,,,
,Polo Liceale,armadio 10,volume,---,Brueghel,Milano,Rizzoli,2003,"Serie: I classici dell'arte, Vol 22; Arpino Giovanni ( Presentazione di )",,750,,,,
,Polo Liceale,armadio 10,volume,---,Brueghel,Milano,Rizzoli,2003,"Serie: I classici dell'arte, Vol 22; Arpino Giovanni ( Presentazione di )",,750,,,,
,Polo Liceale,armadio 10,volume,---,Rousseau,Milano,Rizzoli,2004,"Serie: I classici dell'arte, Vol 37; Artieri Giovanni ( Presentazione di )",,750,,,,
,Polo Liceale,armadio 10,volume,---,Manet,"Ginevra, Parigi, New York",Albert Skira S.A.,1955,Serie: Le goût de notre temps,,750,,Bataille Georges,,
,Polo Liceale,armadio 10,volume,---,Giotto,Ginevra ( Svizera ),Albert Skira S.A.,1960,Serie: Le goût de notre temps,,750,,Battisti Eugenio,,
,Polo Liceale,armadio 10,volume,---,Mantegna,Milano,Rizzoli,2003,"Serie: I classici dell'arte, Vol 18; Bellonci Maria ( Presentazione di )",,750,,,,
,Polo Liceale,armadio 10,volume,---,Canaletto ,Milano,Rizzoli,2003,"Serie: I classici dell'arte, Vol 13; Berto Giuseppe ( Presentazione di )",,750,,,,
,Polo Liceale,armadio 10,volume,---,Botticelli,Milano,Rizzoli,2003,"Serie: I classici dell'arte, Vol 6; Bo Carlo ( Presentazione di )",,750,,,,
,Polo Liceale,armadio 10,volume,---,Il “discorso sul metodo” di cartesio e il problema del metodo nell'età moderna,Torino,Paravia,1996,Pennarola Rotigliano,88-395-3301-X,1,,Brianese Giorgio,,
,Polo Liceale,armadio 10,volume,---,Bosch,Milano,Rizzoli,2004,"Serie: I classici dell'arte, Vol 28; Buzzati Dino ( Presentazione di )",,750,,,,
,Polo Liceale,armadio 10,volume,---,Gauguin,"Ginevra, Parigi, New York",Albert Skira S.A.,1953,Serie: Le goût de notre temps,,750,,Charles Estienne,,
,Polo Liceale,armadio 10,volume,---,Van Gogh,Ginevra ( Svizera ),Albert Skira S.A.,1953,Serie: Le goût de notre temps,,750,,"Charles Estienne, C.H. Sibert",,
,Polo Liceale,armadio 10,volume,---,Munch,Milano,Rizzoli,2004,"Serie: I classici dell'arte, Vol 12; Chiappini Rudy ( Presentazione di ) ",,750,,,,
,Polo Liceale,armadio 10,volume,---,Memling,Milano,Rizzoli,2005,"Serie: I classici dell'arte, Vol 62; Corti Maria ( Presentazione di )",,750,,,,
,Polo Liceale,armadio 10,volume,---,Le Romantisme,Ginevra ( Svizera ),Albert Skira S.A.,1961,Serie: Le goût de notre temps,,750,,Courthion Pierre,,
,Polo Liceale,armadio 10,volume,---,Persefone : Variazioni sul mito,Venezia,Marsilio,2010,"Testi di: Omero, Ovidio, Claudiano, Marino, Goethe, Swinburne, Tennyson, Ritsos",978-88-317-0560-8,800,,Deidier Roberto,"Ciani Maria Grazia, Pianezzola Clemente,  Serpa Franco, Losacco Margherita, Deidier  Roberto, Crocetti Nicola Pennarola Rotigliano",
,Polo Liceale,armadio 10,volume,---,Piero della Francesca,Milano,Rizzoli,2003,"Serie: I classici dell'arte, Vol 11; Del Buono Oreste ( Presentazione di )",,750,,,,
,Polo Liceale,armadio 10,volume,---,Bosch,Ginevra ( Svizera ),Albert Skira S.A.,1960,Serie: Le goût de notre temps,,750,,Delevoy Robert L.,,
,Polo Liceale,armadio 10,volume,---,Klimt,Milano,Rizzoli,2004,"Serie: I classici dell'arte, Vol 4; Dobai Johannes ( Presentazione di )",,750,,,,
,Polo Liceale,armadio 10,volume,---,Van Der Weyden,Milano,Rizzoli,2004,"Serie: I classici dell'arte, Vol 53; Duckers Alexander ( Presentazione di )",,750,,,,
,Polo Liceale,armadio 10,volume,---,Miró,Milano,Rizzoli,2004,"Serie: I classici dell'arte, Vol 16; Gillo Dorfles ( Presentazione di )",,750,,,,
,Polo Liceale,armadio 10,volume,---,Turner,Milano,Rizzoli,2004,"Serie: I classici dell'arte, Vol 25; Grasso Sebastiano ( Presentazione di )",,750,,,,
,Polo Liceale,armadio 10,volume,---,Chagall,Milano,Rizzoli,2004,"Serie: I classici dell'arte, Vol 5; Grasso Sebastiano ( Presentazione di )",,750,,,,
,Polo Liceale,armadio 10,volume,---,Klee,Milano,Rizzoli,2004,"Serie: I classici dell'arte, Vol 15; Greenberg Clement ( Presentazione di )",,750,,,,
,Polo Liceale,armadio 10,volume,---,Lautrec,Ginevra ( Svizera ),Albert Skira S.A.,1953,Serie: Le goût de notre temps,,750,,Lassaigne Jacques,,
,Polo Liceale,armadio 10,volume,---,Kandinsky,Ginevra ( Svizera ),Albert Skira S.A.,1964,Serie: Le goût de notre temps,,750,,Lassaigne Jacques,,
,Polo Liceale,armadio 10,volume,---,Matisse,Ginevra ( Svizera ),Albert Skira S.A.,1959,Serie: Le goût de notre temps,,750,,Lassaigne Jacques,,
,Polo Liceale,armadio 10,volume,---,Miró,Ginevra ( Svizera ),Albert Skira S.A.,1963,Serie: Le goût de notre temps,,750,,Lassaigne Jacques,,
,Polo Liceale,armadio 10,volume,---,Dufy,"Ginevra, Parigi, New York",Albert Skira S.A.,1954,Serie: Le goût de notre temps,,750,,Lassaigne Jacques,,
,Polo Liceale,armadio 10,volume,---,Braque,Ginevra ( Svizera ),Albert Skira S.A.,1961,Serie: Le goût de notre temps,,750,,Leymarie Jean,,
,Polo Liceale,armadio 10,volume,---,Corot,Ginevra ( Svizera ),Albert Skira S.A.,1966,Serie: Le goût de notre temps,,750,,Leymarie Jean ( A cura di ),,
,Polo Liceale,armadio 10,volume,---,L'impressionnisme,Ginevra ( Svizera ),Albert Skira S.A.,1955,Serie: Le goût de notre temps vol 1-2,,750,,Leymarie Jean ( A cura di ),,
,Polo Liceale,armadio 10,volume,---,Le fauvisme,Ginevra ( Svizera ),Albert Skira S.A.,1959,Serie: Le goût de notre temps,,750,,Leymarie Jean ( A cura di ),,
,Polo Liceale,armadio 10,volume,---,"Van Gogh : Arles, Saint-Rémy",Paris,Fernand Hazan,,,,750,,Leymarie Jean ( A cura di ),,
,Polo Liceale,armadio 10,volume,---,Giorgione,Milano,Rizzoli,2004,"Serie: I classici dell'arte, Vol 31; Lilli Virgilio ( Presentazione di )",,750,,,,
,Polo Liceale,armadio 10,volume,---,Matisse,Milano,Rizzoli,2004,"Serie: I classici dell'arte, Vol 9; Mario Luzi ( Presentazione di ) ",,750,,,,
,Polo Liceale,armadio 10,volume,---,La “Politica” di aristotele e il problema della schiavitù nel mondo antico,Torino,Paravia,1988,Pennarola Rotigliano,39501576,1,,Maruzzi Marina,,
,Polo Liceale,armadio 10,volume,---,Gentile Da Fabriano,Milano,Rizzoli,2005,"Serie: I classici dell'arte, Vol 57; Micheletti Emma ( Presentazione di )",,750,,,,
,Polo Liceale,armadio 10,volume,---,Boccioni,Milano,Rizzoli,2004,"Serie: I classici dell'arte, Vol 10; Palazzeschi Aldo (Presentazione di)",,750,,,,
,Polo Liceale,armadio 10,volume,---,Carpaccio,Ginevra ( Svizera ),Albert Skira S.A.,1958,Serie: Le goût de notre temps,,750,,Pignatti Terisio,,
,Polo Liceale,armadio 10,volume,---,Leonardo,Milano,Rizzoli,2003,"Serie: I classici dell'arte, Vol 14; Pomilio Mario ( Presentazione di )",,750,,,,
,Polo Liceale,armadio 10,volume,---,Klee,Ginevra ( Svizera ),Albert Skira S.A.,1960,Serie: Le goût de notre temps,,750,,Ponente Nello,,
,Polo Liceale,armadio 10,volume,---,Picasso,Ginevra ( Svizera ),Albert Skira S.A.,1921,Serie: Le goût de notre temps,,750,,Raynal Maurice,,
,Polo Liceale,armadio 10,volume,---,Cézanne,Ginevra ( Svizera ),Albert Skira S.A.,1954,Serie: Le goût de notre temps,,750,,Raynal Maurice,,
,Polo Liceale,armadio 10,volume,---,Monet,Ginevra ( Svizera ),Albert Skira S.A.,1958,Serie: Le goût de notre temps,,750,,Rouart Denis,,
,Polo Liceale,armadio 10,volume,---,Renoir,Ginevra ( Svizera ),Albert Skira S.A.,1954,Serie: Le goût de notre temps,,750,,Rouart Denis,,
,Polo Liceale,armadio 10,volume,---,,Milano ,Skira,2007,"Serie: I grandi maestri dell'arte, Vol 20; Sgarbi Vittorio ( Presentazione di )",,750,,,,
,Polo Liceale,armadio 10,volume,---,Michelangelo,Milano,Skira,2007,"Serie: I grandi maestri dell'arte, Vol 8; Sgarbi Vittorio ( Presentazione di )",,750,,,,
,Polo Liceale,armadio 10,volume,---,Balthus,Milano,Rizzoli,2004,"Serie: I classici dell'arte, Vol 8; Soavi Giorgio ( Presentazione di )",,750,,,,
,Polo Liceale,armadio 10,volume,---,Goya,Milano,Rizzoli,2003,"Serie: I classici dell'arte, Vol 5; Starobinski Jean ( Presentazione di )",,750,,,,
,Polo Liceale,armadio 10,volume,---,Friedrich,Milano,Rizzoli,2005,"Serie: I classici dell'arte, Vol 56; Tassi Roberto ( Presentazione di )",,750,,,,
,Polo Liceale,armadio 10,volume,---,Monet ,Milano,Rizzoli,2003,"Serie: I classici dell'arte, Vol 4; Tassi Roberto ( Presentazione di )",,750,,,,
,Polo Liceale,armadio 10,volume,---,Le più belle fiabe italiane,Roma,Newton & Compton,2004,Pennarola Rotigliano,88-541-0257-1,8,,Trocchi Cecilia Gatto,,
,Polo Liceale,armadio 10,volume,---,Vermeer,Milano,Rizzoli,2003,"Serie: I classici dell'arte, Vol 19; Ungaretti Giuseppe ( Presentazione di )",,750,,,,
,Polo Liceale,armadio 10,volume,---,Chagall,Ginevra ( Svizera ),Albert Skira S.A.,1956,Serie: Le goût de notre temps,,750,,Ventura Lionello ( A cura di ),,
,Polo Liceale,armadio 10,volume,---,Giotto,Milano,Rizzoli,2004,"Serie: I classici dell'arte, Vol 21; Vigorelli Giancarlo ( Presentazione di )",,750,,,,
,Polo Liceale,armadio 10,volume,---,Le surréalisme,Ginevra ( Svizera ),Albert Skira S.A.,1962,Serie: Le goût de notre temps,,750,,Waldberg Patrick,,
,Polo Liceale,armadio 10,volume,---,Degas,Ginevra ( Svizera ),Skira-Fabbri,1965,Serie: Le goût de notre temps,,750,,Waldberg Patrick,,
,Polo Liceale,armadio 10,volume,---,Tìtyre tù patulàe : Recubàns,Milano,Mursia & C.,1985,,,8,,,,
,Polo Liceale,armadio 10,volume,---,Enciclopedia filosofica,Milano,Bompiani,2005,Pennarola Rotigliano vol 1,ISSN 1825-78870,0,,,,
,Polo Liceale,armadio 10,volume,---,Le mille e una notte,Roma,Newton & Compton,2003,Pennarola Rotigliano,88-8289-955-1,8,,,Dominicis Armando,
,Polo Liceale,armadio 10,volume,---,Catechismo della chiesa cattolica,Città del Vaticano,Libreria editrice vaticana,1992,,88-209-1888-9,230,,,,
,Polo Liceale,armadio 10,volume,---,The Koran,Baltimore,Penguin Books,1956,[Pennarola],,2,,,,
,Polo Liceale,armadio 10,volume,---,Van Gogh,Milano,Mondadori Electa,2005,"Artbook, 1; Supplemento a ""Il Giornale""",,,,,,
,Polo Liceale,armadio 10,volume,---,Caravaggio,Milano,Mondadori Electa,2005,"Artbook, 2; Supplemento a ""Il Giornale""",,,,,,
,Polo Liceale,armadio 10,volume,---,L'assedio dell'Alcazar : un film di Augusto Genna,,Istituto LUCE,2006,,,940-790,,,,
,Polo Liceale,armadio 10,volume,---,L'assedio dell'Alcazar : un film di Augusto Genna,,Istituto LUCE,2006,,,940-790,,,,
,Polo Liceale,armadio 10,volume,---,L'assedio dell'Alcazar : un film di Augusto Genna,,Istituto LUCE,2006,,,940-790,,,,
,Polo Liceale,armadio 10,volume,---,L'assedio dell'Alcazar : un film di Augusto Genna,,Istituto LUCE,2006,,,940-790,,,,
,Polo Liceale,armadio 10,volume,---,L'assedio dell'Alcazar : un film di Augusto Genna,,Istituto LUCE,2006,,,940-790,,,,
,Polo Liceale,armadio 10,volume,---,L'assedio dell'Alcazar : un film di Augusto Genna,,Istituto LUCE,2006,,,940-790,,,,
,Polo Liceale,armadio 10,volume,---,L'assedio dell'Alcazar : un film di Augusto Genna,,Istituto LUCE,2006,,,940-790,,,,
,Polo Liceale,armadio 9,volume,---,La storia,,L'Espresso,,Cravetto Enrico (direzione editoriale); Biblioteca di Repubblica vol 1-16,,900,,,,
,Polo Liceale,armadio 9,volume,---,Storia d'Italia,,Einaudi,1972,"Romano Ruggiero, Vivanti Corrado (coordinatori) Vol 1-6;  (1-3, 5)",,900,,,,
,Polo Liceale,armadio 9,volume,---,Storia d'Italia,,Einaudi,1972,"Romano Ruggiero, Vivanti Corrado (coordinatori) Vol 1-6;  (1-3, 5)",,900,,,,
,Polo Liceale,armadio 8,volume,---,Questioni di storiografia filosofica,,La scuola,1975,"Vol 1-3, 5-6",,100,,Mathieu Vittorio,,
,Polo Liceale,armadio 8,volume,---,Questioni di storiografia filosofica,,La scuola,1975,Pennarola vol 3,,100,,Mathieu Vittorio,,
,Polo Liceale,armadio 8,volume,---,Filosofia '90,,Laterza,,,88-420-3752-4,,,Vattimo Gianni,,
,Polo Liceale,armadio 8,volume,---,Oralità scrittura spettacolo,,,,,88-339-0723-6,,,Vegetti Mario,,
,Polo Liceale,armadio 8,volume,---,Educazione scientifica e nuovo Umanesimo : Atti del 114 convegno Nazionale dell'UCIIM,Roma,UCIIM,1988,,,,,Lepri Luciana,,
,Polo Liceale,armadio 7,volume,---,Il quotidiano in classe : una didattica del giornale,,La nuova Italia,2005,"Biblioteca de “Il quotidiano in classe”, 1",,,,Osservatorio permanente giovani editori,,
,Polo Liceale,armadio 7,volume,---,"Il Quotidiano in classe : suggestioni, spunti e idee per le lezioni nel quotidiano",,La nuova Italia,2010,"Biblioteca de “Il quotidiano in classe”, 6",,,,Osservatorio permanente giovani editori,,
,Polo Liceale,armadio 7,volume,---,Il profumo della libertà,,,2010,,,,,Ministero della Gioventù,,
,Polo Liceale,armadio 7,volume,---,I racconti di Sabaudia,,Baldini Castoldi Dalai,2004,,,,,Costici Maria,,
,Polo Liceale,armadio 7,volume,---,La notte della fuga : storie di rifugiati in Italia),,Avagliano,,,88-8309-171-X,,,Centro Astalli,,
,Polo Liceale,armadio 7,volume,---,La notte della fuga : storie di rifugiati in Italia),,Avagliano,,,88-8309-171-X,,,Centro Astalli,,
,Polo Liceale,armadio 7,volume,---,Per leggere De Sanctis,Roma,Bonacci editore,1983,,,,,Tedeschi Muscetta Marcella,,
,Polo Liceale,armadio 7,volume,---,Quando nasci è una roulette : giovani figli di migranti si raccontano,,,,,978-88-6189-007-7,,,"Mubiayi Ingy, Scego Igiaba",,
,Polo Liceale,armadio 7,volume,---,Scrittori di Grecia e Roma,,La Scuola,2000,Vol 2,,,,D'Anna Giovanni,,
,Polo Liceale,armadio 7,volume,---,Vitae dux : antologia filosofica ciceroniana,,Società editrice Dante Alighieri,1960,Lucia mammucari,,,,"Riposati B., Dal Santo L.",,
,Polo Liceale,armadio 7,volume,---,Scrittori latini : antologia della letteratura latina,,Giuseppe Principato,1953,Lucia mammucari,,,,"Marchesi C., Campagna G.",,
,Polo Liceale,armadio 6,volume,---,Selezione della narrativa mondiale. n. 176 : Alterazioni / Robin Cook ; Collezione con delitto / Nora Roberts ; La terra che dio diede a caino / Hammond Innes ; Duetto finale / Diane Pearson,,Selezione dal Reader's Digest,1996,,,,,,,
,Polo Liceale,armadio 6,volume,---,Sigismondo Malatesta,Rimini,ELSA - Edizioni Lettere Storia Arte,1978,Balducci Carlo Alberto (prefazione di),,,,,,
,Polo Liceale,armadio 6,volume,---,Guida ai servizi per le tossicodipendenze nel Lazio,,Edizioni T.E.R.,,,,,,Ministero dell'Interno,,
,Polo Liceale,armadio 6,volume,---,Guida ai servizi per le tossicodipendenze nel Lazio,,Edizioni T.E.R.,,,,,,Ministero dell'Interno,,
,Polo Liceale,armadio 6,volume,---,L'esame di Stato,,Treccani,,"Collana ""Quaderni"", 4",,,,,,
,Polo Liceale,armadio 6,volume,---,Dizionario del lavoro,Fondi,ConfrontoGraphic,2000,,,,,,,
,Polo Liceale,armadio 6,volume,---,Maturità… e poi? : Guida alla scelta degli studi dopo Diploma,,,,,,,,"Regione Lazio, Settore Diritto allo Studio",,
,Polo Liceale,armadio 6,volume,---,Letteratura francese contemporanea : Le correnti d'avanguardia,,Lucarini,1984,"Vol 1-2; Jannini P.A., Bertozzi G-A. (diretta da)",,,,,,
,Polo Liceale,armadio 6,volume,---,Letteratura francese contemporanea : Le correnti d'avanguardia : Berenice,,Lucarini,1984,"Appendice I; Jannini P.A., Bertozzi G-A. (diretta da)",88-7033-068-0,,,,,
,Polo Liceale,armadio 6,volume,---,Letteratura francese contemporanea : Le correnti d'avanguardia : Berenice,,Lucarini,1985,"Appendice II; Jannini P.A., Bertozzi G-A. (diretta da)",88-7033-130-X,,,,,
,Polo Liceale,armadio 6,volume,---,Letteratura francese:i contemporanei,Roma,Lucarini,1983,"Vol 1-2; Colesanti Massimo, De nardis Luigi (diretta da)",,,,,,
,Polo Liceale,armadio 6,volume,---,Fatrasies,,Pratiche,1993,Testo francese a fronte,88-7380-197-8,,,Musso Daniela,,
,Polo Liceale,armadio 6,volume,---,La battaglia di Quaresima e Carnevale,,Pratiche,1990,,88-7380-116-1,,,Lecco Margherita,,
,Polo Liceale,armadio 6,volume,---,L'eros di Shakespeare,,Pratiche,1988,,88-7380-108-0,,,"Serpieri Alessandro, Elam Keir",,
,Polo Liceale,armadio 6,volume,---,The complete works of William Shakespeare,Londra,Henry Pordes,1987,Testo inglese,0-85376-034-9,,,Craig W.J.,,
,Polo Liceale,armadio 6,volume,---,"Oxford advanced learner's dictionary, 7th ed.",,Oxford University press,2005,Dizionario inglese,0-19-431606-8,,,,,
,Polo Liceale,armadio 6,volume,---,"Oxford advanced learner's dictionary, 7th ed.",,Oxford University press,2005,Dizionario inglese,0-19-431606-8,,,,,
,Polo Liceale,armadio 6,volume,---,Oxford Study : personal dictionary trainer,,Oxford University press,2005,"Dizionario inglese, 3 CD-ROM",0-19-431679-3,,,,,
,Polo Liceale,armadio 6,volume,---,Oxford Study : personal dictionary trainer,,Oxford University press,2005,"Dizionario inglese, 3 CD-ROM",0-19-431679-3,,,,,
,Polo Liceale,armadio 6,volume,---,Oxford Study : personal dictionary trainer,,Oxford University press,2005,"Dizionario inglese, 3 CD-ROM",0-19-431679-3,,,,,
,Polo Liceale,armadio 6,volume,---,Oxford Study : personal dictionary trainer,,Oxford University press,2005,"Dizionario inglese, 3 CD-ROM",0-19-431679-3,,,,,
,Polo Liceale,armadio 6,volume,---,Oxford Study : personal dictionary trainer,,Oxford University press,2005,"Dizionario inglese, 3 CD-ROM",0-19-431679-3,,,,,
,Polo Liceale,armadio 6,volume,---,Oxford Study : personal dictionary trainer,,Oxford University press,2005,"Dizionario inglese, 3 CD-ROM",0-19-431679-3,,,,,
,Polo Liceale,armadio 6,volume,---,Oxford Study : personal dictionary trainer,,Oxford University press,2005,"Dizionario inglese, 3 CD-ROM",0-19-431679-3,,,,,
,Polo Liceale,armadio 6,volume,---,Il grande dizionario Garzanti della lingua italiana,,Garzanti,1994,Dizionario; Copertina staccata,88-11-10202-2,,,,,
,Polo Liceale,armadio 5,volume,---,Storia d'Italia,,La Nuova Italia,1978©,"Collana ""Il mondo contemporaneo, 1"", vol 3",,945,,"Levi Fabio, Levra Umberto, Tranfaglia Nicola",,
,Polo Liceale,armadio 5,volume,---,Storia d'Europa,,La Nuova Italia,1980 ©,"Collana ""Il mondo contemporaneo, 2"", vol 1-4",,,,"Bongiovanni Bruno, Jocteau Gian Carlo, Trafaglia Nicola",,
,Polo Liceale,armadio 5,volume,---,Politica internazionale,,La Nuova Italia,1979 ©,"Collana ""Il mondo contemporaneo, 7""",,,,Bonanate Luigi,,
,Polo Liceale,armadio 5,volume,---,Economia e storia,,La Nuova Italia,1978©,"Collana ""Il mondo contemporaneo, 8"", vol 1-2",,,,"Carmagnani Marcello, Vercelli Alessandro",,
,Polo Liceale,armadio 5,volume,---,Politica e società,,La Nuova Italia,1979 ©,"Collana ""Il mondo contemporaneo, 9""",,,,Farneti Paolo,,
,Polo Liceale,armadio 5,volume,---,L'Europa e le ralazioni USA-URSS,,Guida,,,88-7835-005-2,32.747.073,Relazioni internazionali fra Europa orientale Russia e Stati Uniti.,"Ullman Richard, Zucconi Mario",,
,Polo Liceale,armadio 5,volume,---,La lunga via per Roma,Roma,Ente nazionale biblioteche popolari e scolastiche,[1970],,,945.08.00,STORIA. ITALIA,Talamo Giuseppe,,
,Polo Liceale,armadio 5,volume,---,Il Federalismo,,Il Mulino,1979 ©,,,321.02.00,STATI FEDERALI,Albertini Mario,,
,Polo Liceale,armadio 5,volume,---,La Resistenza italiana : dall'opposizione al Fascismo alla lotta popolare,Milano,Mondadori,1975,,,9405345,,Ministero della Pubblica Istruzione,,
,Polo Liceale,armadio 5,volume,---,La Resistenza italiana : dall'opposizione al Fascismo alla lotta popolare,Milano,Mondadori,1975,,,9405345,,Ministero della Pubblica Istruzione,,
